Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_3,Q10,Q11_1211,Q11_211,Q11_3211,Q11_4211,Q11_5211,Q11_6211,Q11_7211,Q11_8211,Q11_9211,Q11_10211,Q11_11211,Q11_12211,Q11_13211,Q11_14211,Q11_15211,Q11_16211,Q11_17211,Q11_18211,Q11_19211,Q11_20211,Q11_21211,Q11_22211,Q11_23211,Q11_24211,Q11_25211,Q11_26211,Q11_27211,Q11_9999,Q11_999211,Q12,Q13,Q14,Q15,Q16235,Q17_1214,Q17_2214,Q17_3214,Q17_4214,Q17_5214,Q17_6214,Q17_7214,Q17_8214,Q17_9214,Q17_10214,Q17_11214,Q17_12214,Q17_13214,Q17_14214,Q17_15214,Q17_16214,Q17_17214,Q17_18214,Q17_19214,Q17_20214,Q17_999214,Q18_1215,Q18_2215,Q18_3215,Q18_4215,Q18_5215,Q18_6215,Q18_7215,Q18_8215,Q18_9215,Q18_10215,Q18_11215,Q18_12215,Q18_13215,Q18_14215,Q18_15215,Q18_16215,Q18_17215,Q18_18215,Q18_19215,Q18_20215,Q18_21215,Q18_22215,Q18_23215,Q18_24215,Q18_25215,Q18_26215,Q18_27215,Q18_28215,Q18_29215,Q18_30215,Q18_31215,Q18_9999,Q18_999215,Q_104223,Q_116225,Q_113_1224,Q_105221,Q_115222,Q_101218,Q_887226,Q_114220,Q_886216,Q_103217,Q_112_1219,Q_1087236,Q_111213,Q_112212,Q23241,Q24_1240,Q24_2240,Q24_3240,Q24_4240,Q24_5240,Q24_6240,Q25_1243,Q25_2244,Q25_3255,Q25_4248,Q25_5252,Q25_6249,Q25_7254,Q25_8242,Q25_9253,Q25_1256,Q25_11257,Q25_12247,Q25_13246,Q25_14245,Q25_15258,Q25_16251,Q25_1725,Q27,Q28201,Q29,Q30207,Q31202,Q_358,Q_359,Q70_regions,Q28_regions208,Q_euro,Industry_bundlednew203,Q12discrete,Q12_compsize,Q12_GROUP205,Q13_discrete204,Q13Q12sing,Q13Q12206,Q_3_bundled210,Q30_bundled,Q14_discrete237,Q15_discrete238
Europe,Austria,501 - 1500,Manufacturing,Did not respond,Did not respond,Other,760,Scalability,,,Innovative strength of the vendor,,,,,,,Integrated end-to-end platform,,,,,,,,,,,,,Connectivity to source and target systems,,,,,,800,200,1,0.2,Company-wide,Data Warehousing/BI,,,,Data Storage/Data Provisioning,,,,,Data Virtualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Good,Good,Good,Excellent,Good,Good,Satisfactory,Good,Excellent,Good,Good,Very satisfied,Probably,Predominantly data-based,Digitization & data-driven enterprise,,,,,,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Austria,Process industry,"Other, please specify:",Finance and controlling,Yes,,1,Europe,DACH,Manufacturing,501 - 1000,100 - 2500,501 - 1500,76 - 300,25,20 to less than 30%,,,Less than 25,Less than 25
Europe,Germany,501 - 1500,Financial Services,Business,Did not respond,Other,4.2,,,,,Fast reaction time on support tickets,,,,,,,Ease of use for business users,Ease of use for technical users,,,,,,,,,,,Connectivity to source and target systems,,,,,,600,50,,,Company-wide,Data Warehousing/BI,,,,,Query Engine,,,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,,,Insufficient support,High complexity in operation,,Inflexible licensing model,,,,,,,,Performance too slow,,,,,,,,,,,,,Poor,Don't know / not available,Don't know / not available,Poor,Satisfactory,Good,Poor,Don't know / not available,Poor,Don't know / not available,Satisfactory,Satisfactory,Rather dissatisfied,Probably not,Half data-based and half based on gut feeling,,"Distributed data, computing & decision-making",Security & privacy,,,Business user enablement,Slightly increased,Slightly increased,Slightly increased,Stayed the same,,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,,Germany,Insurance,Head of business department,Other,Yes,,1,Europe,DACH,Financial Services,501 - 1000,100 - 2500,501 - 1500,25 - 75,8.333333333,5 to less than 10%,,Business,,
Europe,Greece,1501 - 6000,Utilities,Business,Did not respond,Other,"SAP HANA Cloud database, SAP Extension Suite, and the SAP Analytics Cloud solution",Scalability,Extensibility of the solution,Openness,,,Local presence and good support,Local presence and quality of support,"Flexible, good licensing model/price",Good price-performance ratio,,,Ease of use for business users,Ease of use for technical users,,,Convincing performance,,,,,,,,,Supported data access methodologies,,,,,2000,20,3,5,For the implementation of a specific use case,,Advanced Analytics/Machine Learning/AI,,,,,,,,Data Virtualization,,,,,,,,,,,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,,Business user enablement,Strongly increased,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Strongly increased,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,,Greece,"Oil, gas and mining",CIO/IT management,IT,No,No,1,Europe,Southern Europe,Utilities,1001 – 2500,100 - 2500,1501 - 6000,Less than 25,1,1 to less than 5%,,Business,Less than 25,Less than 25
Europe,Germany,150 - 500,Other,Did not respond,Did not respond,Other,2021.20.26,,Extensibility of the solution,,Innovative strength of the vendor,,,,,,,,Ease of use for business users,,,Integration into existing IT operations,Convincing performance,,,Integration into enterprise data processes,,,,,,,,,,,350,20,2,2,In several divisions,,,,,,,,,,,,,,,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Satisfactory,Good,Good,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Good,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",,,Data culture,,Stayed the same,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Germany,Other,Business analyst,Dedicated BI and analytics unit,Yes,,1,Europe,DACH,Other,251 - 500,100 - 2500,150 - 500,Less than 25,5.714285714,5 to less than 10%,,,Less than 25,Less than 25
Europe,Switzerland,Less than 150,Services,Business,Did not respond,Other,2021.20.24 (Client),Scalability,,,,,,,,,,,,,,Integration into existing IT operations,,Available know-how in the company,,Integration into enterprise data processes,,Product roadmap,,Automation of data processes,,,,,,,45,35,10,20,In several divisions,,,,,,,,,,,,,,,Self-Service Analytics,,,,,,,Lack of management support,,Organizational issues,,,Customization of tool is limited,,,,,,,Inflexible licensing model,,,,,,,,,,,,,,,,The product lacks key features,,,,,Satisfactory,Good,Good,Satisfactory,Satisfactory,Satisfactory,Good,Good,Good,Good,Good,Good,Rather satisfied,Probably,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,,,,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Switzerland,Switzerland,Consulting,Person responsible for BI from IT department,,No,No,1,Europe,DACH,Services,Less than 50,Less than 100,Less than 150,25 - 75,77.77777778,More than 75%,,Business,Less than 25,Less than 25
Europe,Germany,1501 - 6000,Services,Business,Did not respond,Other,4.6,,,,,Fast reaction time on support tickets,,,,,Prebuilt content,,,,,,,,,,,,,,,,,,,,2000,12,3,8,In several divisions,,,,Data Governance,,,,,,,,,,Master/Reference Data Management,,Data Discovery,,,,,,,,,Tool does not scale,,,,,,,,,,,Lack of internal know-how,,Too complex to use for developers,,,,,Lacks of key features,,,,,,,,,,,Others,Poor,Good,Don't know / not available,Satisfactory,Good,Poor,Satisfactory,Satisfactory,Good,Good,Excellent,Good,Rather dissatisfied,Probably not,Half data-based and half based on gut feeling,,"Distributed data, computing & decision-making",,,Data culture,Business user enablement,Slightly increased,Stayed the same,Slightly decreased,Slightly increased,Stayed the same,,Slightly decreased,,Stayed the same,,Stayed the same,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Germany,Germany,Consulting,Person responsible for BI from IT department,,Yes,,1,Europe,DACH,Services,1001 – 2500,100 - 2500,1501 - 6000,Less than 25,0.6,1 to less than 5%,,Business,Less than 25,Less than 25
Europe,Germany,150 - 500,Manufacturing,Business,Did not respond,Other,QV12-20/36,Scalability,,,,,,,,,,,,,,,Convincing performance,,,,,,,,,,,,,,500,30,1,1,In several divisions,,,,,,,,,Data Preparation for Business Users,,,,,Master/Reference Data Management,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacks of key features,,,,,,,,,,,,Satisfactory,Don't know / not available,Don't know / not available,Satisfactory,Excellent,Satisfactory,Good,Excellent,Excellent,Good,Good,Satisfactory,Neither satisfied nor dissatisfied,Probably not,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,,,,,Strongly increased,,Strongly increased,Slightly increased,Slightly increased,,,Slightly increased,Strongly increased,Slightly increased,,,,Stayed the same,Stayed the same,,Germany,Process industry,Line of business employee,Finance and controlling,Yes,,1,Europe,DACH,Manufacturing,251 - 500,100 - 2500,150 - 500,25 - 75,6,5 to less than 10%,,Business,Less than 25,Less than 25
Europe,Germany,Less than 150,Financial Services,Business,Did not respond,Other,Feb 20,Scalability,Extensibility of the solution,,Innovative strength of the vendor,,,,,,,,Ease of use for business users,,,,,,,,,,,,,,Range of available functions,,,,120,30,3,4,Company-wide,Data Warehousing/BI,,,Data Governance,Data Storage/Data Provisioning,Query Engine,,,Data Preparation for Business Users,Data Virtualization,,,,,Self-Service Analytics,,,,,,,,Lack of resources/budget,,,,,,,,,High complexity in operation,,,,,,,,,,,,,,,,,,,,,,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Satisfactory,Good,Satisfactory,Satisfactory,Good,Good,Satisfactory,Rather satisfied,Probably,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,,Artificial intelligence & machine learning,,,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Germany,Banking and finance,Person responsible for BI from IT department,IT,Yes,,1,Europe,DACH,Financial Services,100 - 250,100 - 2500,Less than 150,25 - 75,25,20 to less than 30%,,Business,Less than 25,Less than 25
Europe,Germany,150 - 500,IT,Business,Did not respond,Other,Qlik Sense Server 14,,,,,Fast reaction time on support tickets,,,,,,,,,,,Convincing performance,Available know-how in the company,,,,,,Automation of data processes,Connectivity to source and target systems,,,,,,220,30,1,25,Company-wide,,,,,Data Storage/Data Provisioning,,,Data Integration,Data Preparation for Business Users,,,,,,Self-Service Analytics,,,,,,,,,,,,,Lack of maturity/culture in the enterprise,,,,,,,,Lack of internal know-how,Lack of usability,,,,Tool doesn't work with existing IT tools,,,,,,,,,,,,,,Satisfactory,Good,Don't know / not available,Excellent,Excellent,Very poor,Satisfactory,Don't know / not available,Don't know / not available,Satisfactory,Don't know / not available,Don't know / not available,Rather satisfied,Probably,Predominantly data-based,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",Security & privacy,Artificial intelligence & machine learning,Data culture,,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,,Germany,IT,Line of business employee,Finance and controlling,Yes,,1,Europe,DACH,IT,100 - 250,100 - 2500,150 - 500,25 - 75,13.63636364,10 to less than 15%,,Business,Less than 25,Less than 25
Europe,Germany,More than 6000,Services,Did not respond,Did not respond,Other,Qlik Sense Februar 2021,,,,,,,,,,,,Ease of use for business users,Ease of use for technical users,,,,,,,,,,Automation of data processes,Connectivity to source and target systems,,,,,,66000,20000,40,750,Company-wide,Data Warehousing/BI,,,,,,,,Data Preparation for Business Users,,,,,,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Satisfactory,Excellent,Good,Satisfactory,Very satisfied,Definitely,Predominantly data-based,Digitization & data-driven enterprise,,,Artificial intelligence & machine learning,,Business user enablement,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Strongly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,,Germany,Healthcare,Data owner,R&D,Yes,,1,Europe,DACH,Services,10001 -  100000,More than 2500,More than 6000,More than 300,30.3030303,30 to less than 40%,,,25 - 75,More than 300
Europe,Germany,Less than 150,IT,Business,Did not respond,Other,V8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Others,100,8,2,1,Company-wide,,,,,,,,Data Integration,,,,,,Master/Reference Data Management,,Data Discovery,,,,,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't know,,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Good,Very satisfied,Definitely,Predominantly data-based,,,,,,Business user enablement,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Germany,Germany,IT,Person responsible for BI from IT department,,Yes,,1,Europe,DACH,IT,100 - 250,100 - 2500,Less than 150,Less than 25,8,5 to less than 10%,,Business,Less than 25,Less than 25
