Peer,vendor,KPI,value,,,
All products,SAP BW/4HANA,Recommendation,1.8,,,
All products,SAP DI,Recommendation,1,,,
All products,SAP DWC,Recommendation,3.945454545,,,
All products,Snowflake CDP,Recommendation,8.65,,,
All products,Synabi D-QUANTUM,Recommendation,5.452631579,,,
All products,Talend DI,Recommendation,4.15,,,
All products,TimeXtender,Recommendation,8.8,,,
All products,Peer Group Average,Recommendation,4.317835746,,,
All products,Alation Data Catalog,Product Satisfaction,6.135869565,,,
All products,Amazon RedShift,Product Satisfaction,3.934782609,,,
All products,AnalyticsCreator,Product Satisfaction,5.288625776,,,
All products,Collibra DI Cloud,Product Satisfaction,1.969202899,,,
All products,dataspot.,Product Satisfaction,10,,,
All products,Exasol,Product Satisfaction,7.84041502,,,
All products,Google BigQuery,Product Satisfaction,6.04076087,,,
All products,Informatica EDC,Product Satisfaction,1.249660326,,,
All products,Informatica PowerCen.,Product Satisfaction,1.407608696,,,
All products,MS Azure Data Factory,Product Satisfaction,4.945652174,,,
All products,MS Azure Synapse,Product Satisfaction,7.184006211,,,
All products,MS SQL Server,Product Satisfaction,4.012145075,,,
All products,MS SSIS,Product Satisfaction,1,,,
All products,Oracle Data Integrator,Product Satisfaction,4.882472826,,,
All products,Oracle Database,Product Satisfaction,3.4609375,,,
All products,Qlik Data Integration,Product Satisfaction,3.092391304,,,
All products,SAP BW/4HANA,Product Satisfaction,4.10326087,,,
All products,SAP DI,Product Satisfaction,1.227096273,,,
All products,SAP DWC,Product Satisfaction,4.394268775,,,
All products,Snowflake CDP,Product Satisfaction,9.147078804,,,
All products,Synabi D-QUANTUM,Product Satisfaction,6.656354515,,,
All products,Talend DI,Product Satisfaction,5.356317935,,,
All products,TimeXtender,Product Satisfaction,6.967391304,,,
All products,Peer Group Average,Product Satisfaction,4.795491275,,,
All products,Alation Data Catalog,Support Quality,5.180527383,,,
All products,Amazon RedShift,Support Quality,5.655172414,,,
All products,AnalyticsCreator,Support Quality,8.562022156,,,
All products,Collibra DI Cloud,Support Quality,6.034326728,,,
All products,dataspot.,Support Quality,10,,,
All products,Exasol,Support Quality,7.132214641,,,
All products,Google BigQuery,Support Quality,1,,,
All products,Informatica EDC,Support Quality,4.012170385,,,
All products,Informatica PowerCen.,Support Quality,5.229208925,,,
All products,MS Azure Data Factory,Support Quality,4.211322146,,,
All products,MS Azure Synapse,Support Quality,4.742393509,,,
All products,MS SQL Server,Support Quality,2.989858012,,,
All products,MS SSIS,Support Quality,1.631008025,,,
All products,Oracle Data Integrator,Support Quality,3.464503043,,,
All products,Oracle Database,Support Quality,4.481599536,,,
All products,Qlik Data Integration,Support Quality,1.334685598,,,
All products,SAP BW/4HANA,Support Quality,4.279325187,,,
All products,SAP DI,Support Quality,2.113590264,,,
All products,SAP DWC,Support Quality,5.929006085,,,
All products,Snowflake CDP,Support Quality,5.618661258,,,
All products,Synabi D-QUANTUM,Support Quality,8.739404292,,,
All products,Talend DI,Support Quality,5.472616633,,,
All products,TimeXtender,Support Quality,6.689655172,,,
All products,Peer Group Average,Support Quality,4.978403104,,,
All products,Alation Data Catalog,Customer Satisfaction,7.357003505,,,
All products,Amazon RedShift,Customer Satisfaction,4.481055903,,,
All products,AnalyticsCreator,Customer Satisfaction,8.099645507,,,
All products,Collibra DI Cloud,Customer Satisfaction,3.337506829,,,
All products,dataspot.,Customer Satisfaction,9.931021898,,,
All products,Exasol,Customer Satisfaction,7.513037222,,,
All products,Google BigQuery,Customer Satisfaction,6.132793916,,,
All products,Informatica EDC,Customer Satisfaction,3.679285643,,,
All products,Informatica PowerCen.,Customer Satisfaction,3.997434023,,,
All products,MS Azure Data Factory,Customer Satisfaction,4.173151359,,,
All products,MS Azure Synapse,Customer Satisfaction,5.670399951,,,
All products,MS SQL Server,Customer Satisfaction,4.225502531,,,
All products,MS SSIS,Customer Satisfaction,3.667482246,,,
All products,Oracle Data Integrator,Customer Satisfaction,3.424330422,,,
All products,Oracle Database,Customer Satisfaction,2.627972102,,,
All products,Qlik Data Integration,Customer Satisfaction,4.293499041,,,
All products,SAP BW/4HANA,Customer Satisfaction,3.663997484,,,
All products,SAP DI,Customer Satisfaction,3.36693809,,,
All products,SAP DWC,Customer Satisfaction,6.246184673,,,
All products,Snowflake CDP,Customer Satisfaction,8.613752656,,,
All products,Synabi D-QUANTUM,Customer Satisfaction,7.093989203,,,
All products,Talend DI,Customer Satisfaction,6.01084566,,,
All products,TimeXtender,Customer Satisfaction,8.033020654,,,
All products,Peer Group Average,Customer Satisfaction,5.462602196,,,
All products,Alation Data Catalog,Performance,4.411128776,,,
All products,Amazon RedShift,Performance,1.178060413,,,
All products,AnalyticsCreator,Performance,4.867363161,,,
All products,Collibra DI Cloud,Performance,3.806571277,,,
All products,dataspot.,Performance,8.432750397,,,
All products,Exasol,Performance,9.778219396,,,
All products,Google BigQuery,Performance,5.515103339,,,
All products,Informatica EDC,Performance,4.106972519,,,
All products,Informatica PowerCen.,Performance,4.33227345,,,
All products,MS Azure Data Factory,Performance,4.174562798,,,
All products,MS Azure Synapse,Performance,5.120826709,,,
All products,MS SQL Server,Performance,3.790143084,,,
All products,MS SSIS,Performance,1,,,
All products,Oracle Data Integrator,Performance,5.120826709,,,
All products,Oracle Database,Performance,4.899046105,,,
All products,Qlik Data Integration,Performance,4.33227345,,,
All products,SAP BW/4HANA,Performance,4.963116057,,,
All products,SAP DI,Performance,2.391219274,,,
All products,SAP DWC,Performance,3.124801272,,,
All products,Snowflake CDP,Performance,10,,,
All products,Synabi D-QUANTUM,Performance,3.813488411,,,
All products,Talend DI,Performance,2.459459459,,,
All products,TimeXtender,Performance,1.694698756,,,
All products,Peer Group Average,Performance,4.491865427,,,
All products,Alation Data Catalog,Platform Reliability,6.957386364,,,
All products,Amazon RedShift,Platform Reliability,7.732954545,,,
All products,AnalyticsCreator,Platform Reliability,7.711647727,,,
All products,Collibra DI Cloud,Platform Reliability,8.130681818,,,
All products,dataspot.,Platform Reliability,10,,,
All products,Exasol,Platform Reliability,9.902376033,,,
All products,Google BigQuery,Platform Reliability,8.926136364,,,
All products,Informatica EDC,Platform Reliability,3.914772727,,,
All products,Informatica PowerCen.,Platform Reliability,7.136363636,,,
All products,MS Azure Data Factory,Platform Reliability,7.136363636,,,
All products,MS Azure Synapse,Platform Reliability,1,,,
All products,MS SQL Server,Platform Reliability,7.30415483,,,
All products,MS SSIS,Platform Reliability,6.270344575,,,
All products,Oracle Data Integrator,Platform Reliability,7.136363636,,,
All products,Oracle Database,Platform Reliability,9.149857955,,,
All products,Qlik Data Integration,Platform Reliability,7.732954545,,,
All products,SAP BW/4HANA,Platform Reliability,8.210227273,,,
All products,SAP DI,Platform Reliability,5.21875,,,
All products,SAP DWC,Platform Reliability,5.122869318,,,
All products,Snowflake CDP,Platform Reliability,9.821022727,,,
All products,Synabi D-QUANTUM,Platform Reliability,8.266746411,,,
All products,Talend DI,Platform Reliability,6.129616477,,,
All products,TimeXtender,Platform Reliability,7.494318182,,,
All products,Peer Group Average,Platform Reliability,7.235039512,,,
All products,Alation Data Catalog,Development Efficiency,7.289367325,,,
All products,Amazon RedShift,Development Efficiency,8.899483134,,,
All products,AnalyticsCreator,Development Efficiency,9.045857298,,,
All products,Collibra DI Cloud,Development Efficiency,4.596082699,,,
All products,dataspot.,Development Efficiency,10,,,
All products,Exasol,Development Efficiency,7.592210424,,,
All products,Google BigQuery,Development Efficiency,4.981821673,,,
All products,Informatica EDC,Development Efficiency,8.557943417,,,
All products,Informatica PowerCen.,Development Efficiency,7.874863983,,,
All products,MS Azure Data Factory,Development Efficiency,5.532877351,,,
All products,MS Azure Synapse,Development Efficiency,2.410228509,,,
All products,MS SQL Server,Development Efficiency,4.927644851,,,
All products,MS SSIS,Development Efficiency,1,,,
All products,Oracle Data Integrator,Development Efficiency,4.801006529,,,
All products,Oracle Database,Development Efficiency,5.495103373,,,
All products,Qlik Data Integration,Development Efficiency,6.964091404,,,
All products,SAP BW/4HANA,Development Efficiency,5.639331289,,,
All products,SAP DI,Development Efficiency,3.19089072,,,
All products,SAP DWC,Development Efficiency,5.639331289,,,
All products,Snowflake CDP,Development Efficiency,7.328400435,,,
All products,Synabi D-QUANTUM,Development Efficiency,7.653324707,,,
All products,Talend DI,Development Efficiency,4.801006529,,,
All products,TimeXtender,Development Efficiency,7.592210424,,,
All products,Peer Group Average,Development Efficiency,6.165785972,,,
All products,Alation Data Catalog,Usability,6.940568022,,,
All products,Amazon RedShift,Usability,8.744565217,,,
All products,AnalyticsCreator,Usability,7.60326087,,,
All products,Collibra DI Cloud,Usability,3.22826087,,,
All products,dataspot.,Usability,10,,,
All products,Exasol,Usability,8.311656672,,,
All products,Google BigQuery,Usability,4.75,,,
All products,Informatica EDC,Usability,5.356317935,,,
All products,Informatica PowerCen.,Usability,6.461956522,,,
All products,MS Azure Data Factory,Usability,6.233695652,,,
All products,MS Azure Synapse,Usability,1,,,
All products,MS SQL Server,Usability,6.067794711,,,
All products,MS SSIS,Usability,2.96441094,,,
All products,Oracle Data Integrator,Usability,4.393342391,,,
All products,Oracle Database,Usability,5.677309783,,,
All products,Qlik Data Integration,Usability,5.891304348,,,
All products,SAP BW/4HANA,Usability,4.407608696,,,
All products,SAP DI,Usability,6.576086957,,,
All products,SAP DWC,Usability,8.381422925,,,
All products,Snowflake CDP,Usability,8.288043478,,,
All products,Synabi D-QUANTUM,Usability,7.738415332,,,
All products,Talend DI,Usability,5.356317935,,,
All products,TimeXtender,Usability,7.78035982,,,
All products,Peer Group Average,Usability,6.180552134,,,
All products,Alation Data Catalog,Customer Experience,6.319930659,,,
All products,Amazon RedShift,Customer Experience,6.482453154,,,
All products,AnalyticsCreator,Customer Experience,7.249230055,,,
All products,Collibra DI Cloud,Customer Experience,4.484644501,,,
All products,dataspot.,Customer Experience,9.552214399,,,
All products,Exasol,Customer Experience,8.752364145,,,
All products,Google BigQuery,Customer Experience,5.631426627,,,
All products,Informatica EDC,Customer Experience,5.70817721,,,
All products,Informatica PowerCen.,Customer Experience,6.353507364,,,
All products,MS Azure Data Factory,Customer Experience,5.574090748,,,
All products,MS Azure Synapse,Customer Experience,2.580301491,,,
All products,MS SQL Server,Customer Experience,5.267902875,,,
All products,MS SSIS,Customer Experience,2.314166636,,,
All products,Oracle Data Integrator,Customer Experience,5.109530699,,,
All products,Oracle Database,Customer Experience,5.898968068,,,
All products,Qlik Data Integration,Customer Experience,6.015470421,,,
All products,SAP BW/4HANA,Customer Experience,5.461477051,,,
All products,SAP DI,Customer Experience,4.219306271,,,
All products,SAP DWC,Customer Experience,5.630568613,,,
All products,Snowflake CDP,Customer Experience,8.721987222,,,
All products,Synabi D-QUANTUM,Customer Experience,6.668171901,,,
All products,Talend DI,Customer Experience,4.480454903,,,
All products,TimeXtender,Customer Experience,5.946979454,,,
All products,Peer Group Average,Customer Experience,5.844492368,,,
All products,Alation Data Catalog,Product Enhancement,8.863121186,,,
All products,Amazon RedShift,Product Enhancement,9.621621622,,,
All products,AnalyticsCreator,Product Enhancement,9.173745174,,,
All products,Collibra DI Cloud,Product Enhancement,4.570570571,,,
All products,dataspot.,Product Enhancement,10,,,
All products,Exasol,Product Enhancement,5.545945946,,,
All products,Google BigQuery,Product Enhancement,8.445945946,,,
All products,Informatica EDC,Product Enhancement,6.71042471,,,
All products,Informatica PowerCen.,Product Enhancement,1.783783784,,,
All products,MS Azure Data Factory,Product Enhancement,6.262548263,,,
All products,MS Azure Synapse,Product Enhancement,7.158301158,,,
All products,MS SQL Server,Product Enhancement,4.70990991,,,
All products,MS SSIS,Product Enhancement,2.903474903,,,
All products,Oracle Data Integrator,Product Enhancement,1,,,
All products,Oracle Database,Product Enhancement,3.246846847,,,
All products,Qlik Data Integration,Product Enhancement,6.660660661,,,
All products,SAP BW/4HANA,Product Enhancement,4.918918919,,,
All products,SAP DI,Product Enhancement,4.396396396,,,
All products,SAP DWC,Product Enhancement,9.8744551,,,
All products,Snowflake CDP,Product Enhancement,7.158301158,,,
All products,Synabi D-QUANTUM,Product Enhancement,6.698319942,,,
All products,Talend DI,Product Enhancement,4.291891892,,,
All products,TimeXtender,Product Enhancement,4.802802803,,,
All products,Peer Group Average,Product Enhancement,6.034695082,,,
All products,Alation Data Catalog,Automation,7.116991643,,,
All products,Amazon RedShift,Automation,5.291086351,,,
All products,AnalyticsCreator,Automation,10,,,
All products,Collibra DI Cloud,Automation,1,,,
All products,dataspot.,Automation,7.539832869,,,
All products,Exasol,Automation,9.626904801,,,
All products,Google BigQuery,Automation,9.038997214,,,
All products,Informatica EDC,Automation,5.963788301,,,
All products,Informatica PowerCen.,Automation,2.614007163,,,
All products,MS Azure Data Factory,Automation,7.885793872,,,
All products,MS Azure Synapse,Automation,6.18344608,,,
All products,MS SQL Server,Automation,6.811323288,,,
All products,MS SSIS,Automation,5.858951633,,,
All products,Oracle Data Integrator,Automation,5.707520891,,,
All products,Oracle Database,Automation,5.194986072,,,
All products,Qlik Data Integration,Automation,9.038997214,,,
All products,SAP BW/4HANA,Automation,4.791364903,,,
All products,SAP DI,Automation,7.116991643,,,
All products,SAP DWC,Automation,6.454231102,,,
All products,Snowflake CDP,Automation,4.398726622,,,
All products,Synabi D-QUANTUM,Automation,6.94339114,,,
All products,Talend DI,Automation,7.373259053,,,
All products,TimeXtender,Automation,5.945483486,,,
All products,Peer Group Average,Automation,6.430264145,,,
All products,Alation Data Catalog,Innovation,7.990056415,,,
All products,Amazon RedShift,Innovation,7.456353986,,,
All products,AnalyticsCreator,Innovation,9.586872587,,,
All products,Collibra DI Cloud,Innovation,2.785285285,,,
All products,dataspot.,Innovation,8.769916435,,,
All products,Exasol,Innovation,7.586425373,,,
All products,Google BigQuery,Innovation,8.74247158,,,
All products,Informatica EDC,Innovation,6.337106506,,,
All products,Informatica PowerCen.,Innovation,2.198895473,,,
All products,MS Azure Data Factory,Innovation,7.074171067,,,
All products,MS Azure Synapse,Innovation,6.670873619,,,
All products,MS SQL Server,Innovation,5.760616599,,,
All products,MS SSIS,Innovation,4.381213268,,,
All products,Oracle Data Integrator,Innovation,3.353760446,,,
All products,Oracle Database,Innovation,4.22091646,,,
All products,Qlik Data Integration,Innovation,7.849828938,,,
All products,SAP BW/4HANA,Innovation,4.855141911,,,
All products,SAP DI,Innovation,5.75669402,,,
All products,SAP DWC,Innovation,8.164343101,,,
All products,Snowflake CDP,Innovation,5.77851389,,,
All products,Synabi D-QUANTUM,Innovation,6.820855541,,,
All products,Talend DI,Innovation,5.832575472,,,
All products,TimeXtender,Innovation,5.374143144,,,
All products,Peer Group Average,Innovation,6.232479614,,,
All products,Alation Data Catalog,Connectivity,7.601898342,,,
All products,Amazon RedShift,Connectivity,7.50533049,,,
All products,AnalyticsCreator,Connectivity,10,,,
All products,Collibra DI Cloud,Connectivity,1,,,
All products,dataspot.,Connectivity,6.789468805,,,
All products,Exasol,Connectivity,7.819176009,,,
All products,Google BigQuery,Connectivity,5.48024583,,,
All products,Informatica EDC,Connectivity,8.253731343,,,
All products,Informatica PowerCen.,Connectivity,6.008528785,,,
All products,MS Azure Data Factory,Connectivity,8.253731343,,,
All products,MS Azure Synapse,Connectivity,7.291501675,,,
All products,MS SQL Server,Connectivity,7.384620675,,,
All products,MS SSIS,Connectivity,4.342733338,,,
All products,Oracle Data Integrator,Connectivity,8.253731343,,,
All products,Oracle Database,Connectivity,8.478251599,,,
All products,Qlik Data Integration,Connectivity,8.253731343,,,
All products,SAP BW/4HANA,Connectivity,5.858848614,,,
All products,SAP DI,Connectivity,6.906609808,,,
All products,SAP DWC,Connectivity,8.464219083,,,
All products,Snowflake CDP,Connectivity,7.411780384,,,
All products,Synabi D-QUANTUM,Connectivity,6.979427188,,,
All products,Talend DI,Connectivity,9.516657783,,,
All products,TimeXtender,Connectivity,8.927292111,,,
All products,Peer Group Average,Connectivity,7.251370256,,,
All products,Alation Data Catalog,Functionality,6.956989247,,,
All products,Amazon RedShift,Functionality,6.777777778,,,
All products,AnalyticsCreator,Functionality,7.452380952,,,
All products,Collibra DI Cloud,Functionality,1.435897436,,,
All products,dataspot.,Functionality,10,,,
All products,Exasol,Functionality,8.569892473,,,
All products,Google BigQuery,Functionality,5.078431373,,,
All products,Informatica EDC,Functionality,7.541666667,,,
All products,Informatica PowerCen.,Functionality,7.888888889,,,
All products,MS Azure Data Factory,Functionality,3,,,
All products,MS Azure Synapse,Functionality,2.80952381,,,
All products,MS SQL Server,Functionality,3.583333333,,,
All products,MS SSIS,Functionality,2.11827957,,,
All products,Oracle Data Integrator,Functionality,4.416666667,,,
All products,Oracle Database,Functionality,5.354166667,,,
All products,Qlik Data Integration,Functionality,3.444444444,,,
All products,SAP BW/4HANA,Functionality,5.222222222,,,
All products,SAP DI,Functionality,1,,,
All products,SAP DWC,Functionality,4.416666667,,,
All products,Snowflake CDP,Functionality,3.791666667,,,
All products,Synabi D-QUANTUM,Functionality,5.666666667,,,
All products,Talend DI,Functionality,8.791666667,,,
All products,TimeXtender,Functionality,6,,,
All products,Peer Group Average,Functionality,5.274662095,,,
All products,Alation Data Catalog,Adaptability,4.52173913,,,
All products,Amazon RedShift,Adaptability,5.548913043,,,
All products,AnalyticsCreator,Adaptability,8.630434783,,,
All products,Collibra DI Cloud,Adaptability,5.035326087,,,
All products,dataspot.,Adaptability,7.998327759,,,
All products,Exasol,Adaptability,7.970108696,,,
All products,Google BigQuery,Adaptability,7.089673913,,,
All products,Informatica EDC,Adaptability,4.179347826,,,
All products,Informatica PowerCen.,Adaptability,6.747282609,,,
All products,MS Azure Data Factory,Adaptability,7.60326087,,,
All products,MS Azure Synapse,Adaptability,7.60326087,,,
All products,MS SQL Server,Adaptability,6.119565217,,,
All products,MS SSIS,Adaptability,4.477079395,,,
All products,Oracle Data Integrator,Adaptability,5.035326087,,,
All products,Oracle Database,Adaptability,7.062643021,,,
All products,Qlik Data Integration,Adaptability,7.032608696,,,
All products,SAP BW/4HANA,Adaptability,6.319293478,,,
All products,SAP DI,Adaptability,4.864130435,,,
All products,SAP DWC,Adaptability,8.245244565,,,
All products,Snowflake CDP,Adaptability,8.537055336,,,
All products,Synabi D-QUANTUM,Adaptability,8.158490012,,,
All products,Talend DI,Adaptability,7.089673913,,,
All products,TimeXtender,Adaptability,7.301150895,,,
All products,Peer Group Average,Adaptability,6.659562462,,,
All products,Alation Data Catalog,Technical Capability,6.360208907,,,
All products,Amazon RedShift,Technical Capability,6.610673771,,,
All products,AnalyticsCreator,Technical Capability,8.694271912,,,
All products,Collibra DI Cloud,Technical Capability,2.490407841,,,
All products,dataspot.,Technical Capability,8.262598855,,,
All products,Exasol,Technical Capability,8.119725726,,,
All products,Google BigQuery,Technical Capability,5.882783705,,,
All products,Informatica EDC,Technical Capability,6.658248612,,,
All products,Informatica PowerCen.,Technical Capability,6.881566761,,,
All products,MS Azure Data Factory,Technical Capability,6.285664071,,,
All products,MS Azure Synapse,Technical Capability,5.901428785,,,
All products,MS SQL Server,Technical Capability,5.695839742,,,
All products,MS SSIS,Technical Capability,3.646030768,,,
All products,Oracle Data Integrator,Technical Capability,5.901908032,,,
All products,Oracle Database,Technical Capability,6.965020429,,,
All products,Qlik Data Integration,Technical Capability,6.243594828,,,
All products,SAP BW/4HANA,Technical Capability,5.800121438,,,
All products,SAP DI,Technical Capability,4.256913414,,,
All products,SAP DWC,Technical Capability,7.042043438,,,
All products,Snowflake CDP,Technical Capability,6.580167462,,,
All products,Synabi D-QUANTUM,Technical Capability,6.934861289,,,
All products,Talend DI,Technical Capability,8.465999454,,,
All products,TimeXtender,Technical Capability,7.409481002,,,
All products,Peer Group Average,Technical Capability,6.395198271,,,
Cloud Data Warehousing,Amazon RedShift,Price to Value,7.700729927,,,
Cloud Data Warehousing,Google BigQuery,Price to Value,10,,,
Cloud Data Warehousing,MS Azure Synapse,Price to Value,8.817518248,,,
Cloud Data Warehousing,SAP DWC,Price to Value,8.044357103,,,
Cloud Data Warehousing,Snowflake CDP,Price to Value,9.131614964,,,
Cloud Data Warehousing,Peer Group Average,Price to Value,8.738844048,,,
Cloud Data Warehousing,Amazon RedShift,Time to Market,5.842180775,,,
Cloud Data Warehousing,Google BigQuery,Time to Market,6.905561651,,,
Cloud Data Warehousing,MS Azure Synapse,Time to Market,6.164992826,,,
Cloud Data Warehousing,SAP DWC,Time to Market,9.909612626,,,
Cloud Data Warehousing,Snowflake CDP,Time to Market,9.005738881,,,
Cloud Data Warehousing,Peer Group Average,Time to Market,7.565617352,,,
Cloud Data Warehousing,Amazon RedShift,Recommendation,1.4,,,
Cloud Data Warehousing,Google BigQuery,Recommendation,4.811764706,,,
Cloud Data Warehousing,MS Azure Synapse,Recommendation,2.542857143,,,
Cloud Data Warehousing,SAP DWC,Recommendation,3.945454545,,,
Cloud Data Warehousing,Snowflake CDP,Recommendation,8.65,,,
Cloud Data Warehousing,Peer Group Average,Recommendation,4.270015279,,,
Cloud Data Warehousing,Amazon RedShift,Product Satisfaction,3.934782609,,,
Cloud Data Warehousing,Google BigQuery,Product Satisfaction,6.04076087,,,
Cloud Data Warehousing,MS Azure Synapse,Product Satisfaction,7.184006211,,,
Cloud Data Warehousing,SAP DWC,Product Satisfaction,4.394268775,,,
Cloud Data Warehousing,Snowflake CDP,Product Satisfaction,9.147078804,,,
Cloud Data Warehousing,Peer Group Average,Product Satisfaction,6.140179454,,,
Cloud Data Warehousing,Amazon RedShift,Support Quality,5.655172414,,,
Cloud Data Warehousing,Google BigQuery,Support Quality,1,,,
Cloud Data Warehousing,MS Azure Synapse,Support Quality,4.742393509,,,
Cloud Data Warehousing,SAP DWC,Support Quality,5.929006085,,,
Cloud Data Warehousing,Snowflake CDP,Support Quality,5.618661258,,,
Cloud Data Warehousing,Peer Group Average,Support Quality,4.589046653,,,
Cloud Data Warehousing,Amazon RedShift,Customer Satisfaction,4.481055903,,,
Cloud Data Warehousing,Google BigQuery,Customer Satisfaction,6.132793916,,,
Cloud Data Warehousing,MS Azure Synapse,Customer Satisfaction,5.670399951,,,
Cloud Data Warehousing,SAP DWC,Customer Satisfaction,6.246184673,,,
Cloud Data Warehousing,Snowflake CDP,Customer Satisfaction,8.613752656,,,
Cloud Data Warehousing,Peer Group Average,Customer Satisfaction,6.22883742,,,
Cloud Data Warehousing,Amazon RedShift,Performance,1.178060413,,,
Cloud Data Warehousing,Google BigQuery,Performance,5.515103339,,,
Cloud Data Warehousing,MS Azure Synapse,Performance,5.120826709,,,
Cloud Data Warehousing,SAP DWC,Performance,3.124801272,,,
Cloud Data Warehousing,Snowflake CDP,Performance,10,,,
Cloud Data Warehousing,Peer Group Average,Performance,4.987758347,,,
Cloud Data Warehousing,Amazon RedShift,Platform Reliability,7.732954545,,,
Cloud Data Warehousing,Google BigQuery,Platform Reliability,8.926136364,,,
Cloud Data Warehousing,MS Azure Synapse,Platform Reliability,1,,,
Cloud Data Warehousing,SAP DWC,Platform Reliability,5.122869318,,,
Cloud Data Warehousing,Snowflake CDP,Platform Reliability,9.821022727,,,
Cloud Data Warehousing,Peer Group Average,Platform Reliability,6.520596591,,,
Cloud Data Warehousing,Amazon RedShift,Development Efficiency,8.899483134,,,
Cloud Data Warehousing,Google BigQuery,Development Efficiency,4.981821673,,,
Cloud Data Warehousing,MS Azure Synapse,Development Efficiency,2.410228509,,,
Cloud Data Warehousing,SAP DWC,Development Efficiency,5.639331289,,,
Cloud Data Warehousing,Snowflake CDP,Development Efficiency,7.328400435,,,
Cloud Data Warehousing,Peer Group Average,Development Efficiency,5.851853008,,,
Cloud Data Warehousing,Amazon RedShift,Usability,8.744565217,,,
Cloud Data Warehousing,Google BigQuery,Usability,4.75,,,
Cloud Data Warehousing,MS Azure Synapse,Usability,1,,,
Cloud Data Warehousing,SAP DWC,Usability,8.381422925,,,
Cloud Data Warehousing,Snowflake CDP,Usability,8.288043478,,,
Cloud Data Warehousing,Peer Group Average,Usability,6.232806324,,,
Cloud Data Warehousing,Amazon RedShift,Customer Experience,6.482453154,,,
Cloud Data Warehousing,Google BigQuery,Customer Experience,5.631426627,,,
Cloud Data Warehousing,MS Azure Synapse,Customer Experience,2.580301491,,,
Cloud Data Warehousing,SAP DWC,Customer Experience,5.630568613,,,
Cloud Data Warehousing,Snowflake CDP,Customer Experience,8.721987222,,,
Cloud Data Warehousing,Peer Group Average,Customer Experience,5.809347421,,,
Cloud Data Warehousing,Amazon RedShift,Product Enhancement,9.621621622,,,
