Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_27211,Q_28211,Q_29211,Q_30211,Q_31211,Q_12211,Q_13211,Q_15211,Q_18211,Q_19211,Q_23211,Q_32_1211,Q_33_1211,Q_24211,Q_34211,Q_35211,Q_26211,Q_36211,Q_28_999211,Q_58214,Q_51214,Q_59214,Q_46214,Q_60214,Q_884214,Q_61214,Q_40214,Q_41214,Q_42214,Q_62214,Q_45214,Q_43214,Q_44214,Q_65214,Q_66214,Q_54214,Q_67214,Q_56_999214,Q_101_1215,Q_84215,Q_85215,Q_86215,Q_87215,Q_102_1215,Q_88215,Q_89215,Q_90215,Q_91215,Q_93215,Q_94215,Q_95215,Q_96215,Q_103_1215,Q_104_1215,Q_105_1215,Q_97215,Q_98_999215,Q_101218,Q_112_1219,Q_104223,Q_105221,Q_103217,Q_113_1224,Q_114220,Q_115222,Q_116225,Q_886216,Q_887226,Q_111213,Q_112212,Q_906230,Q_907230,Q_908230,Q_909230,Q_910230,Q_911230,Q_912230,Q_913230,Q_904230,Q_914231,Q_920234,Q_921234,Q_922234,Q_923234,Q_924234,Q_925234,Q_926234,Q_927234,Q_928234,Q_929234,Q_932234,Q_930234,Q_937233,Q_938233,Q_939233,Q_940233,Q_941233,Q_942233,Q_943233,Q_944233,Q_945233,Q_946233,Q_947233,Q_949232,Q_950,Q_951,Q_952,Q_955,Q_956,Q_957,Q_958,Q_959,Q_960,Q_961,Q_346,Q_351,Q70_1201,Q_352,Q_354207,Q_356202,Q70_regions208,Industry_bundlednew203,Q32_GROUP205,Q33_discrete204,Q_3_bundled210,Q33Q32206
Europe,Austria,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,New business models,Advanced analytics,Business intelligence,Regulatory/compliance requirements,,,Protection from external effects,,,Master data/Data quality management,,,,Data governance,Self-service analytics/BI,Data warehouse modernization,,Cloud for data & analytics,Data & analytics platforms,,,Defining a data & analytics strategy,Creating a data culture,,,Modernizing data & analytics architectures,,,Implementing data & analytics projects,Developing implementation concepts,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Austria,,,Dedicated BI and analytics unit,Europe,,,,,
Rest of the world,South Africa,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,,Advanced analytics,Business intelligence,Regulatory/compliance requirements,,,,,,,,,,,Self-service analytics/BI,Data warehouse modernization,,,Data & analytics platforms,,,Defining a data & analytics strategy,,Building competencies,,,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,South Africa,,,Sales,Rest of the world,,,,,
Europe,France,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,,,Business intelligence,,,,,,,Master data/Data quality management,Data-driven culture,,Data democratization,,Self-service analytics/BI,,,,,,,Defining a data & analytics strategy,Creating a data culture,,,,,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,France,,,Marketing,Europe,,,,,
Asia and Pacific,Israel,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data-driven culture,,,,,,,,,,,,,,,,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Israel,,,Management,Asia and Pacific,,,,,
Europe,Switzerland,Did not respond,Did not respond,IT,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,,,Business intelligence,,,,,,,,Data-driven culture,Empowerment of business users,,,,Data warehouse modernization,,Cloud for data & analytics,,Data security/data privacy,,,,,,Modernizing data & analytics architectures,,,,,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Switzerland,,,IT,Europe,,,,,
Europe,Netherlands,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,New business models,,,,,Use of artificial intelligence,Protection from external effects,,$1 million or more,Master data/Data quality management,Data-driven culture,,,,,Data warehouse modernization,,Cloud for data & analytics,Data & analytics platforms,,,Defining a data & analytics strategy,,,,Modernizing data & analytics architectures,,,Implementing data & analytics projects,,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Netherlands,,,Service,Europe,,,,,
Europe,Germany,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,,Advanced analytics,Business intelligence,,,,,,"Less than $100,000",Master data/Data quality management,,,,,Self-service analytics/BI,,,,,,,Defining a data & analytics strategy,,,,,,,Implementing data & analytics projects,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,,,Management,Europe,,,,,
Europe,Germany,Did not respond,Manufacturing,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced analytics,Business intelligence,,,,,,,,,,,,Self-service analytics/BI,,,Cloud for data & analytics,,,,,,,,,,,,,Modernization of IT operations,,,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Process industry,Member of cross-functional BI/analytics team,Management,Europe,Manufacturing,,,,
Europe,Germany,Did not respond,Other,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced analytics,Business intelligence,,,,,,"Less than $100,000",,,,,,Self-service analytics/BI,,Artificial intelligence,Cloud for data & analytics,,,,,,Building competencies,,,,,Implementing data & analytics projects,,,,Low,-77,-77,-77,-77,-66,not quoted,not quoted,not quoted,quoted,Geringer relevaner Datenbestand,-66,-77,Germany,Education,CEO/board member,Management,Europe,Other,,,,
North America,United States of America,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced analytics,Business intelligence,Regulatory/compliance requirements,,,,,,,,,,,Self-service analytics/BI,,Artificial intelligence,Cloud for data & analytics,Data & analytics platforms,Data security/data privacy,,,,Building competencies,Establishing organization for data & analytics,,,,,,,,Medium,not quoted,not quoted,quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,United States of America,,,R&D,North America,,,,,
Asia and Pacific,Sri Lanka,Did not respond,Did not respond,IT,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New business models,Advanced analytics,Business intelligence,,Data protection,Use of artificial intelligence,,,"Less than $100,000",Master data/Data quality management,Data-driven culture,,,,Self-service analytics/BI,,Artificial intelligence,Cloud for data & analytics,,,,Defining a data & analytics strategy,Creating a data culture,,,Modernizing data & analytics architectures,Acquiring new technology,,,Developing implementation concepts,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Sri Lanka,,,IT,Asia and Pacific,,,,,
Europe,Belgium,Did not respond,Manufacturing,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New business models,Advanced analytics,,Regulatory/compliance requirements,,,,,$1 million or more,Master data/Data quality management,,,,,Self-service analytics/BI,Data warehouse modernization,,Cloud for data & analytics,Data & analytics platforms,,,,,,Establishing organization for data & analytics,Modernizing data & analytics architectures,Acquiring new technology,,Implementing data & analytics projects,,Modernization of IT operations,,Medium,not quoted,not quoted,quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Belgium,Manufacturing,Other,Finance and controlling,Europe,Manufacturing,,,,
Asia and Pacific,Israel,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,,,Business intelligence,,,Use of artificial intelligence,,,,,Data-driven culture,Empowerment of business users,Data democratization,,,,Artificial intelligence,,Data & analytics platforms,,,,Creating a data culture,,,,Acquiring new technology,,,,,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Israel,,,R&D,Asia and Pacific,,,,,
South America,Chile,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,,,,,,,,,,,,,,Data governance,,Data warehouse modernization,,,Data & analytics platforms,,,,,,,Modernizing data & analytics architectures,,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Chile,,,Sales,South America,,,,,
Europe,Switzerland,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,,,Business intelligence,,,,,,"Less than $100,000",,,,,,Self-service analytics/BI,Data warehouse modernization,,Cloud for data & analytics,,,,,,,,,,,Implementing data & analytics projects,,Modernization of IT operations,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Switzerland,,,Management,Europe,,,,,
South America,Costa Rica,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,New business models,,,,,Use of artificial intelligence,,,,,Data-driven culture,,Data democratization,,Self-service analytics/BI,,,,,,,Defining a data & analytics strategy,Creating a data culture,,,Modernizing data & analytics architectures,,,,,,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Costa Rica,,,Sales,South America,,,,,
Asia and Pacific,Japan,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,,Advanced analytics,Business intelligence,,,Use of artificial intelligence,,Other,,,Data-driven culture,Empowerment of business users,Data democratization,,Self-service analytics/BI,,,,Data & analytics platforms,,,,,,,Modernizing data & analytics architectures,Acquiring new technology,,,,,,Medium,not quoted,not quoted,not quoted,quoted,There are both pros and cons ...,-77,-77,-77,-77,-66,-66,-77,Japan,,,R&D,Asia and Pacific,,,,,
Asia and Pacific,India,Did not respond,Public sector and Education,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use of artificial intelligence,,,,,,,,,,,Artificial intelligence,,,,,,,Building competencies,,,,,,,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,India,Education,Other,Other,Asia and Pacific,Public sector and Education,,,,
South America,Ecuador,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced analytics,Business intelligence,,,,,,"Less than $100,000",,Data-driven culture,Empowerment of business users,,,Self-service analytics/BI,Data warehouse modernization,,,Data & analytics platforms,,,,Creating a data culture,Building competencies,,,Acquiring new technology,,Implementing data & analytics projects,,,,Medium,not quoted,not quoted,quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Ecuador,,,Dedicated BI and analytics unit,South America,,,,,
Europe,Lithuania,Did not respond,Financial Services,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced analytics,,Regulatory/compliance requirements,,,,,"Less than $100,000",,,,Data democratization,,,,Artificial intelligence,,,,,,,Building competencies,,,Acquiring new technology,,,,,,Low,-77,-77,-77,-77,-66,quoted,not quoted,not quoted,not quoted,-99,-66,-77,Lithuania,Banking and finance,Person responsible for departmental BI,Sales,Europe,Financial Services,,,,
North America,United States of America,Did not respond,Manufacturing,IT,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,Other,,,,,,,,,,,Other,,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,United States of America,Manufacturing,IT employee,IT,North America,Manufacturing,,,,
North America,United States of America,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,,Advanced analytics,,,Data protection,,,,$1 million or more,,,,,Data governance,,,,,,,,,Creating a data culture,,,Modernizing data & analytics architectures,,,,,,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,United States of America,,,Finance and controlling,North America,,,,,
Europe,Germany,Did not respond,IT,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced analytics,,,,,,,"Less than $100,000",Master data/Data quality management,,,,,,,,,,,,,,,,,,,,,Modernization of IT operations,,,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,IT,Other,Management,Europe,IT,,,,
North America,United States of America,Did not respond,Retail/Wholesale,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data protection,,,,,,,,,,,,,,,,Other,,,,,,,,,,,Other,,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,United States of America,Retail / Wholesale / Trade,External consultant,Service,North America,Retail/Wholesale,,,,
Europe,Germany,Did not respond,Manufacturing,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New business models,Advanced analytics,Business intelligence,,,,,,"Less than $100,000",Master data/Data quality management,,,,,Self-service analytics/BI,,,,,,,,,,,,,,,,Modernization of IT operations,,Low,-77,-77,-77,-77,-66,quoted,not quoted,quoted,not quoted,-99,-66,-77,Germany,Process industry,Head of business department,Finance and controlling,Europe,Manufacturing,,,,
Europe,Germany,Did not respond,Manufacturing,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business intelligence,,,,,,"Less than $100,000",Master data/Data quality management,Data-driven culture,Empowerment of business users,,,,Data warehouse modernization,,,,,,,,,,,Acquiring new technology,Larger budgets for external service providers,,Developing implementation concepts,,,High,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,Process industry,Head of business department,Finance and controlling,Europe,Manufacturing,,,,
Europe,Germany,Did not respond,Manufacturing,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business intelligence,,,,,,"Less than $100,000",,,,,,Self-service analytics/BI,,,,,,,,Creating a data culture,,,,,,,,Modernization of IT operations,,Low,-77,-77,-77,-77,-66,quoted,not quoted,not quoted,not quoted,-99,-66,-77,Germany,Manufacturing,Other,Finance and controlling,Europe,Manufacturing,,,,
Europe,Germany,Did not respond,Manufacturing,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business intelligence,,,,,,"$100,000 - $499,999",,,,,,Self-service analytics/BI,Data warehouse modernization,,,,,,,,,,Modernizing data & analytics architectures,,,,,,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Germany,Process industry,Person responsible for departmental BI,Finance and controlling,Europe,Manufacturing,,,,
Europe,Germany,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformation to a data-driven company,New business models,,,,,,,,"Less than $100,000",Master data/Data quality management,,Empowerment of business users,,,,,Artificial intelligence,,,,,,Creating a data culture,Building competencies,,,Acquiring new technology,,,,,,Medium,not quoted,not quoted,quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Germany,,,R&D,Europe,,,,,
Europe,Germany,Did not respond,Retail/Wholesale,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business intelligence,,,,,,,,,Empowerment of business users,,,Self-service analytics/BI,Data warehouse modernization,,,,,,,,,,,,,,,Modernization of IT operations,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Germany,Retail / Wholesale / Trade,Line of business employee,Finance and controlling,Europe,Retail/Wholesale,,,,
Europe,Germany,Did not respond,Did not respond,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New business models,Advanced analytics,,Regulatory/compliance requirements,,,,,,Master data/Data quality management,,,Data democratization,,,,Artificial intelligence,Cloud for data & analytics,Data & analytics platforms,,,,,,Establishing organization for data & analytics,,,,Implementing data & analytics projects,Developing implementation concepts,,,,-77,-77,-77,-77,-66,-77,-77,-77,-77,-66,-66,-77,Germany,,,Marketing,Europe,,,,,
Europe,Germany,Did not respond,Retail/Wholesale,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business intelligence,,,,,,"Less than $100,000",Master data/Data quality management,,Empowerment of business users,,,Self-service analytics/BI,,,,,,,,,,Establishing organization for data & analytics,Modernizing data & analytics architectures,,,Implementing data & analytics projects,,Modernization of IT operations,,Medium,quoted,not quoted,not quoted,not quoted,-99,-77,-77,-77,-77,-66,-66,-77,Germany,Retail / Wholesale / Trade,Head of business department,Finance and controlling,Europe,Retail/Wholesale,,,,
Europe,Germany,Did not respond,Utilities,Business,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New business models,Advanced analytics,Business intelligence,,,,,,"$100,000 - $499,999",,,Empowerment of business users,,Data governance,,,Artificial intelligence,,,,,,Creating a data culture,,,,Acquiring new technology,,Implementing data & analytics projects,,,,Low,-77,-77,-77,-77,-66,not quoted,quoted,not quoted,not quoted,-99,-66,-77,Germany,Utilities,Line of business employee,Finance and controlling,Europe,Utilities,,,,
Europe,Germany,Did not respond,Manufacturing,IT,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regulatory/compliance requirements,Data protection,,Protection from external effects,,"Less than $100,000",,,Empowerment of business users,,,,,,,,Data security/data privacy,,,,,,,,,,,Modernization of IT operations,,Low,-77,-77,-77,-77,-66,quoted,quoted,quoted,not quoted,-99,-66,-77,Germany,Process industry,Person responsible for BI from IT department,IT,Europe,Manufacturing,,,,
